id	type	label_de	label_en	parent	comment_de
HH_0000020	Individual	Biologie			
HH_0000021	Individual	Chemie			
HH_0000022	Individual	Geographie			
HH_0000023	Individual	Gecshichte			
HH_0000024	Individual	Informatik			
HH_0000025	Individual	Lernbereich Gesellschaftswissenschaften			
HH_0000026	Individual	Lernbereich Naturwissenschatfen und Technik			
HH_0000027	Individual	Naturwissenschaften/Technik			
HH_0000028	Individual	Naturwissenschaftliches Praktikum			
HH_0000029	Individual	Neuere Sprachen			
HH_0000030	Individual	Neuere Fremdsprachen: Arabisch			
HH_0000031	Individual	Neuere Fremdsprachen: Chinesisch			
HH_0000032	Individual	Neuere Fremdsprachen: Farsi			
HH_0000033	Individual	Neuere Fremdsprachen: Französisch			
HH_0000034	Individual	Neuere Fremdsprachen: Italienisch			
HH_0000035	Individual	Neuere Fremdsprachen: Polnisch			
HH_0000036	Individual	Neuere Fremdsprachen: Portugiesisch			
HH_0000037	Individual	Neuere Fremdsprachen: Russisch			
HH_0000038	Individual	Neuere Fremdsprachen: Spanisch			
HH_0000039	Individual	Neuere Fremdsprachen: Türkisch			
HH_0000040	Individual	Politik/Gesellschaft/Wirtschaft			
HH_0000041	Individual	Physik			
HH_0000042	Individual	Pädagogik			
HH_0000043	Individual	Philosophie			
HH_0000044	Individual	Rahmenvorgaben für die berufliche Orientierung			
HH_0000045	Individual	Seminar			
HH_0000046	Individual	Wirtschaft			
HH_0000047	Individual	Psychologie			
HH_0000048	Individual	Recht			
HH_0000049	Individual	Fachrichtung Pädagogik/Psychologie an beruflichen Gymnasien			
HH_0000050	Individual	Fachrichtung Technik an beruflichen Gymnasien			
HH_0000051	Individual	Fachrichtung Wirtschaft an beruflichen Gymnasien			
MV_0000000	Individual	Schulfächer (Mecklenburg-Vorpommern)			
MV_0000001	Individual	Astronomie			
MV_0000002	Individual	AWT			
MV_0000003	Individual	Berufliche Orientierung			
MV_0000004	Individual	Biologie			
MV_0000005	Individual	Chemie			
MV_0000006	Individual	Darstellendes Spiel			
MV_0000007	Individual	Deutsch			
MV_0000008	Individual	Deutsch als Zweitsprache			
MV_0000009	Individual	Deutsche Gebärdensprache			
MV_0000010	Individual	Englisch			
MV_0000011	Individual	Evangelische Religion			
MV_0000012	Individual	Französisch			
MV_0000013	Individual	Fremdsprachen an Grundschulen			
MV_0000014	Individual	Geografie			
MV_0000015	Individual	Geschichte			
MV_0000016	Individual	Geschichte und politische Bildung			
MV_0000017	Individual	Gesellschaftswissenschaften			
MV_0000018	Individual	Griechisch			
MV_0000019	Individual	Informatik			
MV_0000020	Individual	Informatik und Medienbildung			
MV_0000021	Individual	Katholische Religion			
MV_0000022	Individual	Kunst			
MV_0000023	Individual	Kunst und Gestaltung			
MV_0000024	Individual	Latein			
MV_0000025	Individual	Mathematik			
MV_0000026	Individual	MINT			
MV_0000027	Individual	Musik			
MV_0000028	Individual	Musikensemble			
